source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/emilbb,1986,Carolina League,bailey-dur,M91022,Bailey,Buddy,,Durham,,,,,
minoraverages/emilbb,1986,Carolina League,bailey-pen,M91033,Bailey,Bob,,Peninsula,,,,,
minoraverages/emilbb,1986,Carolina League,bridges,M90995,Bridges,Rocky,,Prince William,,,,,
minoraverages/emilbb,1986,Carolina League,bucci,M91006,Bucci,Mike,,Salem,,,,,
minoraverages/emilbb,1986,Carolina League,essian,M91011,Essian,Jim,,Winston-Salem,,,,,
minoraverages/emilbb,1986,Carolina League,floyd,M90980,Floyd,Bobby,,Lynchburg,,,,,
minoraverages/emilbb,1986,Carolina League,molinaro,M90972,Molinaro,Bob,,Hagerstown,,,,,
minoraverages/emilbb,1986,Carolina League,sims,M91040,Sims,Duke,,Peninsula,,,,,
minoraverages/emilbb,1986,Carolina League,trembley,M91054,Trembley,Dave,,Kinston,,,,,
