source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/emilbb,1943,Appalachian League,,M90627,Blackman,Ken,,Johnson City,,,,,
minoraverages/emilbb,1943,Appalachian League,,M90603,Feathers,Beattie,,Kingsport,,,,,
minoraverages/emilbb,1943,Appalachian League,,M90587,Gruber,Hal,,Bristol,,,,,
minoraverages/emilbb,1943,Appalachian League,,M90598,Millard,Neal,,Kingsport,,,,,
minoraverages/emilbb,1943,Appalachian League,,M90616,Poole,Jim,,Erwin,,,,,
