league.year,league.name.full,entry.name,entry.key,team.key,club.key
1972,Mexican League,Cordoba,COR,COR,COR
1972,Mexican League,Mexico City Tigers,MCT,MCT,MCT
1972,Mexican League,Puebla,PUE,PUE,PUE
1972,Mexican League,Yucatan,YUC,YUC,YUC
1972,Mexican League,Mexico City Reds,MCR,MCR,MCR
1972,Mexican League,Poza Rica,PR,PR,PR
1972,Mexican League,Veracruz,VER,VER,VER
1972,Mexican League,Saltillo,SAL,SAL,SAL
1972,Mexican League,Tampico,TAM,TAM,TAM
1972,Mexican League,Jalisco,JAL,JAL,JAL
1972,Mexican League,Sabinas,SAB,SAB,SAB
1972,Mexican League,Reynosa,REY,REY,REY
1972,Mexican League,Union Laguna,UL,UL,UL
1972,Mexican League,Monterrey,MTY,MTY,MTY
