source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1958TSN,1957,Western League,ludwig,P11342,Ludwig,,0,Sioux City,,,,2,p
minoraverages/1958TSN,1957,Western League,lynk,B01078,Lynk,Daniel,0,Pueblo,,,122,,
minoraverages/1958TSN,1957,Western League,lynk,F20128,Lynk,,0,Pueblo,,,,,1b116
minoraverages/1958TSN,1957,Western League,malangone,B02231,Malangone,John,0,Amarillo,,,7,,
minoraverages/1958TSN,1957,Western League,malec,B01086,Malec,Stanley,0,Lincoln,,,146,,
minoraverages/1958TSN,1957,Western League,malec,F20620,Malec,,0,Lincoln,,,,,3b26
minoraverages/1958TSN,1957,Western League,malec,F21013,Malec,,0,Lincoln,,,,,of118
minoraverages/1958TSN,1957,Western League,maley,B01093,Maley,William,0,Des Moines,,,43,,
minoraverages/1958TSN,1957,Western League,maley,F21553,Maley,,0,Des Moines,,,,,c30
minoraverages/1958TSN,1957,Western League,maness,B01108,Maness,Robert,0,Pueblo,,,108,,
minoraverages/1958TSN,1957,Western League,maness,F20334,Maness,,0,Pueblo,,,,,2b98
minoraverages/1958TSN,1957,Western League,martin.jd,B01119,Martin,J. Darrell,0,Des Moines,,,21,,
minoraverages/1958TSN,1957,Western League,martin.john,B02373,Martin,John,0,Des Moines,,,1,,
minoraverages/1958TSN,1957,Western League,martin.jd,F22223,Martin,,0,Des Moines,,,,,p21
minoraverages/1958TSN,1957,Western League,martin.h,M90110,Martin,Hershel,,Des Moines,19570624,,,,
minoraverages/1958TSN,1957,Western League,martin.jd,P10429,Martin,J. D.,0,Des Moines,,,,21,p
minoraverages/emilbb,1957,Western League,martin.h,M90835,Martin,Hershel,,Des Moines,,,,,
minoraverages/1958TSN,1957,Western League,mason,B01124,Mason,Ralph,0,Albuquerque,,,226,,
minoraverages/1958TSN,1957,Western League,mason,F22209,Mason,,0,Albuquerque,,,,,p26
minoraverages/1958TSN,1957,Western League,mason,P10432,Mason,,0,Albuquerque,,,,26,p
minoraverages/1958TSN,1957,Western League,massa,B01135,Massa,Gordon,0,Des Moines,,,826,,
minoraverages/1958TSN,1957,Western League,massa,F21362,Massa,,0,Des Moines,,,,,c38
minoraverages/1958TSN,1957,Western League,mauney,B01143,Mauney,Samuel,0,Des Moines,,,53,,
minoraverages/1958TSN,1957,Western League,mauney,F21528,Mauney,,0,Des Moines,,,,,c35
minoraverages/1958TSN,1957,Western League,mccardell,B01156,McCardell,Roger,0,Sioux City,,,41,,
minoraverages/1958TSN,1957,Western League,mccardell,F21442,McCardell,,0,Sioux City,,,,,c104
minoraverages/1958TSN,1957,Western League,mcdaniel,B01162,McDaniel,James,0,Topeka,,,115,,
minoraverages/1958TSN,1957,Western League,mcdaniel,F21149,McDaniel,,0,Topeka,,,,,of137
minoraverages/1958TSN,1957,Western League,mcdaniel,P11417,McDaniel,,0,Topeka,,,,6,p
minoraverages/1958TSN,1957,Western League,mcdevitt,B01170,McDevitt,John,0,Albuquerque,,,141,,
minoraverages/1958TSN,1957,Western League,mcdevitt,F20327,McDevitt,,0,Albuquerque,,,,,2b13
minoraverages/1958TSN,1957,Western League,mcdevitt,F20612,McDevitt,,0,Albuquerque,,,,,3b13
minoraverages/1958TSN,1957,Western League,mcdevitt,F20648,McDevitt,,0,Albuquerque,,,,,ss18
minoraverages/1958TSN,1957,Western League,mckee,B02679,McKee,Rogers,0,Topeka,,,3,,
minoraverages/1958TSN,1957,Western League,mcnamara,B01181,McNamara,John,0,Amarillo,,,65,,
minoraverages/1958TSN,1957,Western League,mcnamara,F21469,McNamara,,0,Amarillo,,,,,c33
minoraverages/1958TSN,1957,Western League,mcneal,B01197,McNeal,Clyde,0,Pueblo,,,43,,
minoraverages/1958TSN,1957,Western League,mcneal,F20369,McNeal,,0,Pueblo,,,,,2b12
minoraverages/1958TSN,1957,Western League,means,B01203,Means,Richard,0,Colorado Springs,,,19,,
minoraverages/1958TSN,1957,Western League,means,F20970,Means,,0,Colorado Springs,,,,,of91
minoraverages/1958TSN,1957,Western League,melendez,B01216,Melendez,Wilfredo,0,Lincoln,,,91,,
minoraverages/1958TSN,1957,Western League,melendez,F20240,Melendez,,0,Lincoln,,,,,2b117
minoraverages/1958TSN,1957,Western League,mendoza,B01227,Mendoza,Rigoberto,0,Albuquerque,,,123,,
minoraverages/1958TSN,1957,Western League,mendoza,F20810,Mendoza,,0,Albuquerque,,,,,ss21
minoraverages/1958TSN,1957,Western League,mertlik,B02550,Mertlik,James,0,Pueblo,,,8,,
minoraverages/1958TSN,1957,Western League,mertlik,P11222,Mertlik,,0,Pueblo,,,,8,p
minoraverages/1958TSN,1957,Western League,messner,B02455,Messner,Fred,0,Lincoln,,,7,,
minoraverages/1958TSN,1957,Western League,michalec,B01234,Michalec,James,0,Albuquerque,,,21,,
minoraverages/1958TSN,1957,Western League,michalec,F22085,Michalec,,0,Albuquerque,,,,,p31
minoraverages/1958TSN,1957,Western League,michalec,P10441,Michalec,,0,Albuquerque,,,,31,p
minoraverages/1958TSN,1957,Western League,miley,B01242,Miley,Sammy,0,Lincoln,,,33,,
minoraverages/1958TSN,1957,Western League,miley,F20539,Miley,,0,Lincoln,,,,,3b112
