league.key,league.year,league.name.full,league.name.short
2005-AL,2005,American League,American
2005-APPY,2005,Appalachian League,Appalachian
2005-AZFL,2005,Arizona Fall League,Arizona Fall
2005-ARIZ,2005,Arizona League,Arizona
2005-ATLL,2005,Atlantic League,Atlantic
2005-CALL,2005,California League,California
2005-CAMA,2005,Canadian-American Association,Canadian-American Association
2005-CARL,2005,Carolina League,Carolina
2005-CENL,2005,Central League,Central
2005-CNBL,2005,China Baseball League,China
2005-CPBL,2005,Chinese Professional Baseball League,Chinese Professional
2005-CNS,2005,Cuban National Series,Cuban
2005-DOSL,2005,Dominican Summer League,Dominican Summer
2005-DOWL,2005,Dominican Winter League,Dominican Winter
2005-DUTM,2005,Dutch Major League,Dutch Major
2005-EL,2005,Eastern League,Eastern
2005-FLIL,2005,Florida Instructional League,Florida Instructional
2005-FLOR,2005,Florida State League,Florida State
2005-FRON,2005,Frontier League,Frontier
2005-GOBL,2005,Golden Baseball League,Golden
2005-GULF,2005,Gulf Coast League,Gulf Coast
2005-IL,2005,International League,International
2005-ITSA,2005,Italian Baseball League,Italian
2005-JPCL,2005,Japan Central League,Japan Central
2005-JPEL,2005,Japan Eastern League,Japan Eastern
2005-JPPL,2005,Japan Pacific League,Japan Pacific
2005-JPWL,2005,Japan Western League,Japan Western
2005-KBO,2005,Korean Baseball Organization,Korean Baseball Organization
2005-MEX,2005,Mexican League,Mexican
2005-MXPW,2005,Mexican Pacific Winter League,Mexican Pacific Winter
2005-MIDW,2005,Midwest League,Midwest
2005-NL,2005,National League,National
2005-NYPL,2005,New York-Pennsylvania League,New York-Pennsylvania
2005-NORL,2005,Northern League,Northern
2005-NORW,2005,Northwest League,Northwest
2005-PCL,2005,Pacific Coast League,Pacific Coast
2005-PION,2005,Pioneer League,Pioneer
2005-PRWL,2005,Puerto Rican Winter League,Puerto Rican Winter
2005-SALL,2005,South Atlantic League,South Atlantic
2005-SOUL,2005,Southern League,Southern
2005-TL,2005,Texas League,Texas
2005-VESL,2005,Venezuelan Summer League,Venezuelan Summer
2005-VEWL,2005,Venezuelan Winter League,Venezuelan Winter
