league.key,league.year,league.name.full,league.name.short
1987-AA,1987,American Association,American Association
1987-AL,1987,American League,American
1987-APPY,1987,Appalachian League,Appalachian
1987-AZIL,1987,Arizona Instructional League,Arizona Instructional
1987-CALL,1987,California League,California
1987-CARL,1987,Carolina League,Carolina
1987-CNS,1987,Cuban National Series,Cuban
1987-DOSL,1987,Dominican Summer League,Dominican Summer
1987-DOWL,1987,Dominican Winter League,Dominican Winter
1987-EL,1987,Eastern League,Eastern
1987-FLIL,1987,Florida Instructional League,Florida Instructional
1987-FLOR,1987,Florida State League,Florida State
1987-GULF,1987,Gulf Coast League,Gulf Coast
1987-IL,1987,International League,International
1987-JPCL,1987,Japan Central League,Japan Central
1987-JPPL,1987,Japan Pacific League,Japan Pacific
1987-KBO,1987,Korean Baseball Organization,Korean Baseball Organization
1987-MEX,1987,Mexican League,Mexican
1987-MXPW,1987,Mexican Pacific Winter League,Mexican Pacific Winter
1987-MIDW,1987,Midwest League,Midwest
1987-NL,1987,National League,National
1987-NYPL,1987,New York-Pennsylvania League,New York-Pennsylvania
1987-NORW,1987,Northwest League,Northwest
1987-PCL,1987,Pacific Coast League,Pacific Coast
1987-PION,1987,Pioneer League,Pioneer
1987-PRWL,1987,Puerto Rican Winter League,Puerto Rican Winter
1987-SALL,1987,South Atlantic League,South Atlantic
1987-SOUL,1987,Southern League,Southern
1987-TL,1987,Texas League,Texas
1987-VEWL,1987,Venezuelan Winter League,Venezuelan Winter
