league.key,league.year,league.name.full,league.name.short
1972-AA,1972,American Association,American Association
1972-AL,1972,American League,American
1972-APPY,1972,Appalachian League,Appalachian
1972-AZIL,1972,Arizona Instructional League,Arizona Instructional
1972-CALL,1972,California League,California
1972-CARL,1972,Carolina League,Carolina
1972-CITL,1972,Citrus League,Citrus
1972-CNS,1972,Cuban National Series,Cuban
1972-DOWL,1972,Dominican Winter League,Dominican Winter
1972-EL,1972,Eastern League,Eastern
1972-FECR,1972,Florida East Coast League,Florida East Coast
1972-FLIL,1972,Florida Instructional League,Florida Instructional
1972-FLOR,1972,Florida State League,Florida State
1972-GULF,1972,Gulf Coast League,Gulf Coast
1972-IL,1972,International League,International
1972-JPCL,1972,Japan Central League,Japan Central
1972-JPPL,1972,Japan Pacific League,Japan Pacific
1972-MXCL,1972,Mexican Center League,Mexican Center
1972-MEX,1972,Mexican League,Mexican
1972-MXPW,1972,Mexican Pacific Winter League,Mexican Pacific Winter
1972-MIDW,1972,Midwest League,Midwest
1972-NL,1972,National League,National
1972-NYPL,1972,New York-Pennsylvania League,New York-Pennsylvania
1972-NORW,1972,Northwest League,Northwest
1972-PCL,1972,Pacific Coast League,Pacific Coast
1972-PION,1972,Pioneer League,Pioneer
1972-PRWL,1972,Puerto Rican Winter League,Puerto Rican Winter
1972-SOUL,1972,Southern League,Southern
1972-TL,1972,Texas League,Texas
1972-VEWL,1972,Venezuelan Winter League,Venezuelan Winter
1972-WCRS,1972,Western Carolinas League,Western Carolinas
