league.key,league.year,league.name.full,league.name.short
1983-AA,1983,American Association,American Association
1983-AL,1983,American League,American
1983-APPY,1983,Appalachian League,Appalachian
1983-AZIL,1983,Arizona Instructional League,Arizona Instructional
1983-CALL,1983,California League,California
1983-CARL,1983,Carolina League,Carolina
1983-CNS,1983,Cuban National Series,Cuban
1983-DOWL,1983,Dominican Winter League,Dominican Winter
1983-EL,1983,Eastern League,Eastern
1983-FLIL,1983,Florida Instructional League,Florida Instructional
1983-FLOR,1983,Florida State League,Florida State
1983-GULF,1983,Gulf Coast League,Gulf Coast
1983-IL,1983,International League,International
1983-JPCL,1983,Japan Central League,Japan Central
1983-JPPL,1983,Japan Pacific League,Japan Pacific
1983-KBO,1983,Korean Baseball Organization,Korean Baseball Organization
1983-MEX,1983,Mexican League,Mexican
1983-MXPW,1983,Mexican Pacific Winter League,Mexican Pacific Winter
1983-MIDW,1983,Midwest League,Midwest
1983-NL,1983,National League,National
1983-NYPL,1983,New York-Pennsylvania League,New York-Pennsylvania
1983-NORW,1983,Northwest League,Northwest
1983-PCL,1983,Pacific Coast League,Pacific Coast
1983-PION,1983,Pioneer League,Pioneer
1983-PRWL,1983,Puerto Rican Winter League,Puerto Rican Winter
1983-SALL,1983,South Atlantic League,South Atlantic
1983-SOUL,1983,Southern League,Southern
1983-TL,1983,Texas League,Texas
1983-VEWL,1983,Venezuelan Winter League,Venezuelan Winter
