league.key,league.year,league.name.full,league.name.short
2001-ALLA,2001,All-American Association,All-American Association
2001-AL,2001,American League,American
2001-APPY,2001,Appalachian League,Appalachian
2001-AZFL,2001,Arizona Fall League,Arizona Fall
2001-ARIZ,2001,Arizona League,Arizona
2001-ATLL,2001,Atlantic League,Atlantic
2001-CALL,2001,California League,California
2001-CARL,2001,Carolina League,Carolina
2001-CPBL,2001,Chinese Professional Baseball League,Chinese Professional
2001-CNS,2001,Cuban National Series,Cuban
2001-DOSL,2001,Dominican Summer League,Dominican Summer
2001-DOWL,2001,Dominican Winter League,Dominican Winter
2001-DUTM,2001,Dutch Major League,Dutch Major
2001-EL,2001,Eastern League,Eastern
2001-FLIL,2001,Florida Instructional League,Florida Instructional
2001-FLOR,2001,Florida State League,Florida State
2001-FRON,2001,Frontier League,Frontier
2001-GULF,2001,Gulf Coast League,Gulf Coast
2001-INTB,2001,International Baseball League,International Baseball
2001-IL,2001,International League,International
2001-ITSA,2001,Italian Baseball League,Italian
2001-JPCL,2001,Japan Central League,Japan Central
2001-JPEL,2001,Japan Eastern League,Japan Eastern
2001-JPPL,2001,Japan Pacific League,Japan Pacific
2001-JPWL,2001,Japan Western League,Japan Western
2001-KBO,2001,Korean Baseball Organization,Korean Baseball Organization
2001-MXAL,2001,Mexican Academy League,Mexican Academy
2001-MEX,2001,Mexican League,Mexican
2001-MXPW,2001,Mexican Pacific Winter League,Mexican Pacific Winter
2001-MIDW,2001,Midwest League,Midwest
2001-NL,2001,National League,National
2001-NYPL,2001,New York-Pennsylvania League,New York-Pennsylvania
2001-NORL,2001,Northern League Central,Northern Central
2001-NEAS,2001,Northern League East,Northern East
2001-NORW,2001,Northwest League,Northwest
2001-PCL,2001,Pacific Coast League,Pacific Coast
2001-PION,2001,Pioneer League,Pioneer
2001-PPWL,2001,Probeis Winter League,Probeis Winter
2001-PRWL,2001,Puerto Rican Winter League,Puerto Rican Winter
2001-SALL,2001,South Atlantic League,South Atlantic
2001-SOUL,2001,Southern League,Southern
2001-TML,2001,Taiwan Major League,Taiwan Major
2001-TL,2001,Texas League,Texas
2001-TXLA,2001,Texas-Louisiana League,Texas-Louisiana
2001-VESL,2001,Venezuelan Summer League,Venezuelan Summer
2001-VEWL,2001,Venezuelan Winter League,Venezuelan Winter
2001-WL,2001,Western League,Western
