league.key,league.year,league.name.full,league.name.short
2007-AA,2007,American Association,American Association
2007-AL,2007,American League,American
2007-APPY,2007,Appalachian League,Appalachian
2007-AZFL,2007,Arizona Fall League,Arizona Fall
2007-ARIZ,2007,Arizona League,Arizona
2007-AZWL,2007,Arizona Winter League,Arizona Winter
2007-ATLL,2007,Atlantic League,Atlantic
2007-CALL,2007,California League,California
2007-CAMA,2007,Canadian-American Association,Canadian-American Association
2007-CARS,2007,Caribbean Series,Caribbean
2007-CARL,2007,Carolina League,Carolina
2007-CPBL,2007,Chinese Professional Baseball League,Chinese Professional
2007-CNTL,2007,Continental Baseball League,Continental
2007-CNS,2007,Cuban National Series,Cuban
2007-DOSL,2007,Dominican Summer League,Dominican Summer
2007-DOWL,2007,Dominican Winter League,Dominican Winter
2007-DUTM,2007,Dutch Major League,Dutch Major
2007-EL,2007,Eastern League,Eastern
2007-FLIL,2007,Florida Instructional League,Florida Instructional
2007-FLOR,2007,Florida State League,Florida State
2007-FRON,2007,Frontier League,Frontier
2007-GOBL,2007,Golden Baseball League,Golden
2007-GULF,2007,Gulf Coast League,Gulf Coast
2007-HIWB,2007,Hawaii Winter Baseball,Hawaii Winter Baseball
2007-IL,2007,International League,International
2007-IBL,2007,Israel Baseball League,Israel
2007-ITSA,2007,Italian Baseball League,Italian
2007-JPCL,2007,Japan Central League,Japan Central
2007-JPEL,2007,Japan Eastern League,Japan Eastern
2007-JPPL,2007,Japan Pacific League,Japan Pacific
2007-JPWL,2007,Japan Western League,Japan Western
2007-KBO,2007,Korean Baseball Organization,Korean Baseball Organization
2007-MEX,2007,Mexican League,Mexican
2007-MXPW,2007,Mexican Pacific Winter League,Mexican Pacific Winter
2007-MIDW,2007,Midwest League,Midwest
2007-NL,2007,National League,National
2007-NYPL,2007,New York-Pennsylvania League,New York-Pennsylvania
2007-NORL,2007,Northern League,Northern
2007-NORW,2007,Northwest League,Northwest
2007-PCL,2007,Pacific Coast League,Pacific Coast
2007-PION,2007,Pioneer League,Pioneer
2007-SALL,2007,South Atlantic League,South Atlantic
2007-SOCL,2007,South Coast League,South Coast
2007-SOUL,2007,Southern League,Southern
2007-TL,2007,Texas League,Texas
2007-UNLB,2007,United League Baseball,United
2007-VESL,2007,Venezuelan Summer League,Venezuelan Summer
2007-VEWL,2007,Venezuelan Winter League,Venezuelan Winter
