league.key,league.year,league.name.full,league.name.short
1971-AA,1971,American Association,American Association
1971-AL,1971,American League,American
1971-APPY,1971,Appalachian League,Appalachian
1971-AZIL,1971,Arizona Instructional League,Arizona Instructional
1971-CALL,1971,California League,California
1971-CARL,1971,Carolina League,Carolina
1971-CNS,1971,Cuban National Series,Cuban
1971-DIXA,1971,Dixie Association,Dixie Association
1971-DOWL,1971,Dominican Winter League,Dominican Winter
1971-EL,1971,Eastern League,Eastern
1971-FLIL,1971,Florida Instructional League,Florida Instructional
1971-FLOR,1971,Florida State League,Florida State
1971-GULF,1971,Gulf Coast League,Gulf Coast
1971-IL,1971,International League,International
1971-JPCL,1971,Japan Central League,Japan Central
1971-JPPL,1971,Japan Pacific League,Japan Pacific
1971-MXCL,1971,Mexican Center League,Mexican Center
1971-MEX,1971,Mexican League,Mexican
1971-MXNO,1971,Mexican Northern League,Mexican Northern
1971-MXPW,1971,Mexican Pacific Winter League,Mexican Pacific Winter
1971-MIDW,1971,Midwest League,Midwest
1971-NL,1971,National League,National
1971-NYPL,1971,New York-Pennsylvania League,New York-Pennsylvania
1971-NORL,1971,Northern League,Northern
1971-NORW,1971,Northwest League,Northwest
1971-PCL,1971,Pacific Coast League,Pacific Coast
1971-PION,1971,Pioneer League,Pioneer
1971-PRWL,1971,Puerto Rican Winter League,Puerto Rican Winter
1971-VEWL,1971,Venezuelan Winter League,Venezuelan Winter
1971-WCRS,1971,Western Carolinas League,Western Carolinas
