league.key,league.year,league.name.full,league.name.short
1961-ALFL,1961,Alabama-Florida League,Alabama-Florida
1961-AA,1961,American Association,American Association
1961-AL,1961,American League,American
1961-APPY,1961,Appalachian League,Appalachian
1961-AZIL,1961,Arizona Instructional League,Arizona Instructional
1961-CALL,1961,California League,California
1961-CARL,1961,Carolina League,Carolina
1961-CNS,1961,Cuban National Series,Cuban
1961-DOWL,1961,Dominican Winter League,Dominican Winter
1961-EL,1961,Eastern League,Eastern
1961-FLIL,1961,Florida Instructional League,Florida Instructional
1961-FLOR,1961,Florida State League,Florida State
1961-FLWL,1961,Florida Winter League,Florida Winter
1961-IIIL,1961,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1961-IL,1961,International League,International
1961-JPCL,1961,Japan Central League,Japan Central
1961-JPPL,1961,Japan Pacific League,Japan Pacific
1961-MXCL,1961,Mexican Center League,Mexican Center
1961-MEX,1961,Mexican League,Mexican
1961-MXPW,1961,Mexican Pacific Winter League,Mexican Pacific Winter
1961-MIDW,1961,Midwest League,Midwest
1961-NL,1961,National League,National
1961-NYPL,1961,New York-Pennsylvania League,New York-Pennsylvania
1961-NOAL,1961,Northern Autumn League,Northern Autumn
1961-NORL,1961,Northern League,Northern
1961-NORW,1961,Northwest League,Northwest
1961-PCL,1961,Pacific Coast League,Pacific Coast
1961-PNNC,1961,Panama-Nicaragua Winter League,Panama-Nicaragua Winter
1961-PENW,1961,Peninsula Winter League,Peninsula Winter
1961-PION,1961,Pioneer League,Pioneer
1961-PRWL,1961,Puerto Rican Winter League,Puerto Rican Winter
1961-QUPL,1961,Quebec Provincial League,Quebec Provincial
1961-RALG,1961,Roberto Avila League,Roberto Avila
1961-SOWL,1961,Sonora Winter League,Sonora Winter
1961-SOPH,1961,Sophomore League,Sophomore
1961-SALL,1961,South Atlantic League,South Atlantic
1961-SOUA,1961,Southern Association,Southern Association
1961-TL,1961,Texas League,Texas
1961-VEWL,1961,Venezuelan Winter League,Venezuelan Winter
1961-WCAN,1961,Western Canada League,Western Canada
1961-WCAR,1961,Western Carolina League,Western Carolina
