league.key,league.year,league.name.full,league.name.short
2004-AL,2004,American League,American
2004-APPY,2004,Appalachian League,Appalachian
2004-AZFL,2004,Arizona Fall League,Arizona Fall
2004-ARIZ,2004,Arizona League,Arizona
2004-ATLL,2004,Atlantic League,Atlantic
2004-CALL,2004,California League,California
2004-CARL,2004,Carolina League,Carolina
2004-CENL,2004,Central League,Central
2004-CNBL,2004,China Baseball League,China
2004-CPBL,2004,Chinese Professional Baseball League,Chinese Professional
2004-CNS,2004,Cuban National Series,Cuban
2004-DOSL,2004,Dominican Summer League,Dominican Summer
2004-DOWL,2004,Dominican Winter League,Dominican Winter
2004-DUTM,2004,Dutch Major League,Dutch Major
2004-EL,2004,Eastern League,Eastern
2004-FFDB,2004,Federation Francaise De Baseball,Federation Francaise De Baseball
2004-FLIL,2004,Florida Instructional League,Florida Instructional
2004-FLOR,2004,Florida State League,Florida State
2004-FRON,2004,Frontier League,Frontier
2004-GULF,2004,Gulf Coast League,Gulf Coast
2004-IL,2004,International League,International
2004-ITSA,2004,Italian Baseball League,Italian
2004-JPCL,2004,Japan Central League,Japan Central
2004-JPEL,2004,Japan Eastern League,Japan Eastern
2004-JPPL,2004,Japan Pacific League,Japan Pacific
2004-JPWL,2004,Japan Western League,Japan Western
2004-KBO,2004,Korean Baseball Organization,Korean Baseball Organization
2004-MEX,2004,Mexican League,Mexican
2004-MXPW,2004,Mexican Pacific Winter League,Mexican Pacific Winter
2004-MIDW,2004,Midwest League,Midwest
2004-NL,2004,National League,National
2004-NYPL,2004,New York-Pennsylvania League,New York-Pennsylvania
2004-NEAS,2004,Northeast League,Northeast
2004-NORL,2004,Northern League,Northern
2004-NORW,2004,Northwest League,Northwest
2004-PCL,2004,Pacific Coast League,Pacific Coast
2004-PION,2004,Pioneer League,Pioneer
2004-PPWL,2004,Probeis Winter League,Probeis Winter
2004-PRWL,2004,Puerto Rican Winter League,Puerto Rican Winter
2004-SALL,2004,South Atlantic League,South Atlantic
2004-SOUL,2004,Southern League,Southern
2004-SWLG,2004,Southwestern League,Southwestern
2004-TL,2004,Texas League,Texas
2004-VESL,2004,Venezuelan Summer League,Venezuelan Summer
2004-VEWL,2004,Venezuelan Winter League,Venezuelan Winter
