league.key,league.year,league.name.full,league.name.short
1990-AA,1990,American Association,American Association
1990-AL,1990,American League,American
1990-APPY,1990,Appalachian League,Appalachian
1990-AZIL,1990,Arizona Instructional League,Arizona Instructional
1990-ARIZ,1990,Arizona League,Arizona
1990-AUBL,1990,Australian Baseball League,Australian
1990-CALL,1990,California League,California
1990-CARL,1990,Carolina League,Carolina
1990-CPBL,1990,Chinese Professional Baseball League,Chinese Professional
1990-CNS,1990,Cuban National Series,Cuban
1990-DOSL,1990,Dominican Summer League,Dominican Summer
1990-DOWL,1990,Dominican Winter League,Dominican Winter
1990-EL,1990,Eastern League,Eastern
1990-FLIL,1990,Florida Instructional League,Florida Instructional
1990-FLOR,1990,Florida State League,Florida State
1990-GULF,1990,Gulf Coast League,Gulf Coast
1990-IL,1990,International League,International
1990-JPCL,1990,Japan Central League,Japan Central
1990-JPPL,1990,Japan Pacific League,Japan Pacific
1990-KBO,1990,Korean Baseball Organization,Korean Baseball Organization
1990-MEX,1990,Mexican League,Mexican
1990-MXPW,1990,Mexican Pacific Winter League,Mexican Pacific Winter
1990-MIDW,1990,Midwest League,Midwest
1990-NL,1990,National League,National
1990-NYPL,1990,New York-Pennsylvania League,New York-Pennsylvania
1990-NORW,1990,Northwest League,Northwest
1990-PCL,1990,Pacific Coast League,Pacific Coast
1990-PION,1990,Pioneer League,Pioneer
1990-PRWL,1990,Puerto Rican Winter League,Puerto Rican Winter
1990-SALL,1990,South Atlantic League,South Atlantic
1990-SOUL,1990,Southern League,Southern
1990-TL,1990,Texas League,Texas
1990-VEWL,1990,Venezuelan Winter League,Venezuelan Winter
