league.key,league.year,league.name.full,league.name.short
1963-AL,1963,American League,American
1963-APPY,1963,Appalachian League,Appalachian
1963-AZIL,1963,Arizona Instructional League,Arizona Instructional
1963-CALL,1963,California League,California
1963-CARL,1963,Carolina League,Carolina
1963-CNS,1963,Cuban National Series,Cuban
1963-DOWL,1963,Dominican Winter League,Dominican Winter
1963-EL,1963,Eastern League,Eastern
1963-FLIL,1963,Florida Instructional League,Florida Instructional
1963-FLOR,1963,Florida State League,Florida State
1963-GAFL,1963,Georgia-Florida League,Georgia-Florida
1963-IL,1963,International League,International
1963-JPCL,1963,Japan Central League,Japan Central
1963-JPPL,1963,Japan Pacific League,Japan Pacific
1963-MXCL,1963,Mexican Center League,Mexican Center
1963-MEX,1963,Mexican League,Mexican
1963-MXPW,1963,Mexican Pacific Winter League,Mexican Pacific Winter
1963-MIDW,1963,Midwest League,Midwest
1963-NL,1963,National League,National
1963-NYPL,1963,New York-Pennsylvania League,New York-Pennsylvania
1963-NICW,1963,Nicaraguan Winter League,Nicaraguan Winter
1963-NORL,1963,Northern League,Northern
1963-NORW,1963,Northwest League,Northwest
1963-OCCL,1963,Occidental Winter League,Occidental Winter
1963-PCL,1963,Pacific Coast League,Pacific Coast
1963-PNWL,1963,Panama Winter League,Panama Winter
1963-PENW,1963,Peninsula Winter League,Peninsula Winter
1963-PION,1963,Pioneer League,Pioneer
1963-PRWL,1963,Puerto Rican Winter League,Puerto Rican Winter
1963-QUPL,1963,Quebec Provincial League,Quebec Provincial
1963-SALL,1963,South Atlantic League,South Atlantic
1963-TL,1963,Texas League,Texas
1963-VEWL,1963,Venezuelan Winter League,Venezuelan Winter
1963-WCRS,1963,Western Carolinas League,Western Carolinas
