league.key,league.year,league.name.full,league.name.short
1965-AL,1965,American League,American
1965-APPY,1965,Appalachian League,Appalachian
1965-AZIL,1965,Arizona Instructional League,Arizona Instructional
1965-CALL,1965,California League,California
1965-CARL,1965,Carolina League,Carolina
1965-CNS,1965,Cuban National Series,Cuban
1965-DOWL,1965,Dominican Winter League,Dominican Winter
1965-EL,1965,Eastern League,Eastern
1965-FLIL,1965,Florida Instructional League,Florida Instructional
1965-FLRL,1965,Florida Rookie League,Florida Rookie
1965-FLOR,1965,Florida State League,Florida State
1965-IL,1965,International League,International
1965-JPCL,1965,Japan Central League,Japan Central
1965-JPPL,1965,Japan Pacific League,Japan Pacific
1965-MXCL,1965,Mexican Center League,Mexican Center
1965-MEX,1965,Mexican League,Mexican
1965-MXPW,1965,Mexican Pacific Winter League,Mexican Pacific Winter
1965-MXSE,1965,Mexican Southeast League,Mexican Southeast
1965-MIDW,1965,Midwest League,Midwest
1965-NL,1965,National League,National
1965-NYPL,1965,New York-Pennsylvania League,New York-Pennsylvania
1965-NICW,1965,Nicaraguan Winter League,Nicaraguan Winter
1965-NORL,1965,Northern League,Northern
1965-NORW,1965,Northwest League,Northwest
1965-PCL,1965,Pacific Coast League,Pacific Coast
1965-PNWL,1965,Panama Winter League,Panama Winter
1965-PENW,1965,Peninsula Winter League,Peninsula Winter
1965-PION,1965,Pioneer League,Pioneer
1965-PRWL,1965,Puerto Rican Winter League,Puerto Rican Winter
1965-QUPL,1965,Quebec Provincial League,Quebec Provincial
1965-SOUL,1965,Southern League,Southern
1965-TL,1965,Texas League,Texas
1965-VEWL,1965,Venezuelan Winter League,Venezuelan Winter
1965-WCRS,1965,Western Carolinas League,Western Carolinas
