league.key,league.year,league.name.full,league.name.short
1991-AA,1991,American Association,American Association
1991-AL,1991,American League,American
1991-APPY,1991,Appalachian League,Appalachian
1991-AZIL,1991,Arizona Instructional League,Arizona Instructional
1991-ARIZ,1991,Arizona League,Arizona
1991-AUBL,1991,Australian Baseball League,Australian
1991-CALL,1991,California League,California
1991-CARL,1991,Carolina League,Carolina
1991-CPBL,1991,Chinese Professional Baseball League,Chinese Professional
1991-CNS,1991,Cuban National Series,Cuban
1991-DOSL,1991,Dominican Summer League,Dominican Summer
1991-DOWL,1991,Dominican Winter League,Dominican Winter
1991-EL,1991,Eastern League,Eastern
1991-FLIL,1991,Florida Instructional League,Florida Instructional
1991-FLOR,1991,Florida State League,Florida State
1991-GULF,1991,Gulf Coast League,Gulf Coast
1991-IL,1991,International League,International
1991-JPCL,1991,Japan Central League,Japan Central
1991-JPPL,1991,Japan Pacific League,Japan Pacific
1991-KBO,1991,Korean Baseball Organization,Korean Baseball Organization
1991-MEX,1991,Mexican League,Mexican
1991-MXPW,1991,Mexican Pacific Winter League,Mexican Pacific Winter
1991-MIDW,1991,Midwest League,Midwest
1991-NL,1991,National League,National
1991-NYPL,1991,New York-Pennsylvania League,New York-Pennsylvania
1991-NORW,1991,Northwest League,Northwest
1991-PCL,1991,Pacific Coast League,Pacific Coast
1991-PION,1991,Pioneer League,Pioneer
1991-PRWL,1991,Puerto Rican Winter League,Puerto Rican Winter
1991-SALL,1991,South Atlantic League,South Atlantic
1991-SOUL,1991,Southern League,Southern
1991-TL,1991,Texas League,Texas
1991-VEWL,1991,Venezuelan Winter League,Venezuelan Winter
