league.key,league.year,league.name.full,league.name.short
1978-AA,1978,American Association,American Association
1978-AL,1978,American League,American
1978-APPY,1978,Appalachian League,Appalachian
1978-AZIL,1978,Arizona Instructional League,Arizona Instructional
1978-CALL,1978,California League,California
1978-CARL,1978,Carolina League,Carolina
1978-CNS,1978,Cuban National Series,Cuban
1978-DOWL,1978,Dominican Winter League,Dominican Winter
1978-EL,1978,Eastern League,Eastern
1978-FLIL,1978,Florida Instructional League,Florida Instructional
1978-FLOR,1978,Florida State League,Florida State
1978-GULF,1978,Gulf Coast League,Gulf Coast
1978-IL,1978,International League,International
1978-JPCL,1978,Japan Central League,Japan Central
1978-JPPL,1978,Japan Pacific League,Japan Pacific
1978-MXCL,1978,Mexican Center League,Mexican Center
1978-MEX,1978,Mexican League,Mexican
1978-MXPW,1978,Mexican Pacific Winter League,Mexican Pacific Winter
1978-MIDW,1978,Midwest League,Midwest
1978-NL,1978,National League,National
1978-NYPL,1978,New York-Pennsylvania League,New York-Pennsylvania
1978-NORW,1978,Northwest League,Northwest
1978-PCL,1978,Pacific Coast League,Pacific Coast
1978-PION,1978,Pioneer League,Pioneer
1978-PRWL,1978,Puerto Rican Winter League,Puerto Rican Winter
1978-SOUL,1978,Southern League,Southern
1978-TL,1978,Texas League,Texas
1978-VEWL,1978,Venezuelan Winter League,Venezuelan Winter
1978-WCRS,1978,Western Carolinas League,Western Carolinas
