league.key,league.year,league.name.full,league.name.short
1967-AL,1967,American League,American
1967-APPY,1967,Appalachian League,Appalachian
1967-AZIL,1967,Arizona Instructional League,Arizona Instructional
1967-CALL,1967,California League,California
1967-CARL,1967,Carolina League,Carolina
1967-CNS,1967,Cuban National Series,Cuban
1967-DOWL,1967,Dominican Winter League,Dominican Winter
1967-EL,1967,Eastern League,Eastern
1967-FLIL,1967,Florida Instructional League,Florida Instructional
1967-FLOR,1967,Florida State League,Florida State
1967-GULF,1967,Gulf Coast League,Gulf Coast
1967-IL,1967,International League,International
1967-JPCL,1967,Japan Central League,Japan Central
1967-JPPL,1967,Japan Pacific League,Japan Pacific
1967-MXCL,1967,Mexican Center League,Mexican Center
1967-MEX,1967,Mexican League,Mexican
1967-MXPW,1967,Mexican Pacific Winter League,Mexican Pacific Winter
1967-MXSE,1967,Mexican Southeast League,Mexican Southeast
1967-MIDW,1967,Midwest League,Midwest
1967-NL,1967,National League,National
1967-NYPL,1967,New York-Pennsylvania League,New York-Pennsylvania
1967-NORL,1967,Northern League,Northern
1967-NORW,1967,Northwest League,Northwest
1967-PCL,1967,Pacific Coast League,Pacific Coast
1967-PNWL,1967,Panama Winter League,Panama Winter
1967-PENW,1967,Peninsula Winter League,Peninsula Winter
1967-PION,1967,Pioneer League,Pioneer
1967-PRWL,1967,Puerto Rican Winter League,Puerto Rican Winter
1967-QUPL,1967,Quebec Provincial League,Quebec Provincial
1967-SOUL,1967,Southern League,Southern
1967-TL,1967,Texas League,Texas
1967-VEWL,1967,Venezuelan Winter League,Venezuelan Winter
1967-WCRS,1967,Western Carolinas League,Western Carolinas
