league.key,league.year,league.name.full,league.name.short
1980-AA,1980,American Association,American Association
1980-AL,1980,American League,American
1980-APPY,1980,Appalachian League,Appalachian
1980-AZIL,1980,Arizona Instructional League,Arizona Instructional
1980-CALL,1980,California League,California
1980-CARL,1980,Carolina League,Carolina
1980-CNS,1980,Cuban National Series,Cuban
1980-DOWL,1980,Dominican Winter League,Dominican Winter
1980-EL,1980,Eastern League,Eastern
1980-FLIL,1980,Florida Instructional League,Florida Instructional
1980-FLOR,1980,Florida State League,Florida State
1980-GULF,1980,Gulf Coast League,Gulf Coast
1980-IL,1980,International League,International
1980-JPCL,1980,Japan Central League,Japan Central
1980-JPPL,1980,Japan Pacific League,Japan Pacific
1980-MEX,1980,Mexican League,Mexican
1980-MEX6,1980,Mexican League (6 team season),Mexican (6 team)
1980-MXPW,1980,Mexican Pacific Winter League,Mexican Pacific Winter
1980-MIDW,1980,Midwest League,Midwest
1980-NL,1980,National League,National
1980-NYPL,1980,New York-Pennsylvania League,New York-Pennsylvania
1980-NORW,1980,Northwest League,Northwest
1980-PCL,1980,Pacific Coast League,Pacific Coast
1980-PION,1980,Pioneer League,Pioneer
1980-PRWL,1980,Puerto Rican Winter League,Puerto Rican Winter
1980-SALL,1980,South Atlantic League,South Atlantic
1980-SOUL,1980,Southern League,Southern
1980-TL,1980,Texas League,Texas
1980-VEWL,1980,Venezuelan Winter League,Venezuelan Winter
