league.key,league.year,league.name.full,league.name.short
1995-AA,1995,American Association,American Association
1995-AL,1995,American League,American
1995-APPY,1995,Appalachian League,Appalachian
1995-AZFL,1995,Arizona Fall League,Arizona Fall
1995-ARIZ,1995,Arizona League,Arizona
1995-ATLC,1995,Atlantic Coast League,Atlantic Coast
1995-AUBL,1995,Australian Baseball League,Australian
1995-CALL,1995,California League,California
1995-CARL,1995,Carolina League,Carolina
1995-CPBL,1995,Chinese Professional Baseball League,Chinese Professional
1995-CNS,1995,Cuban National Series,Cuban
1995-DOSL,1995,Dominican Summer League,Dominican Summer
1995-DOWL,1995,Dominican Winter League,Dominican Winter
1995-EL,1995,Eastern League,Eastern
1995-FLIL,1995,Florida Instructional League,Florida Instructional
1995-FLOR,1995,Florida State League,Florida State
1995-FRON,1995,Frontier League,Frontier
1995-GSTL,1995,Golden State League,Golden State
1995-GULF,1995,Gulf Coast League,Gulf Coast
1995-HIWL,1995,Hawaii Winter League,Hawaii Winter
1995-IL,1995,International League,International
1995-JPCL,1995,Japan Central League,Japan Central
1995-JPPL,1995,Japan Pacific League,Japan Pacific
1995-KBO,1995,Korean Baseball Organization,Korean Baseball Organization
1995-MEX,1995,Mexican League,Mexican
1995-MXPW,1995,Mexican Pacific Winter League,Mexican Pacific Winter
1995-MIDA,1995,Mid-America League,Mid-America
1995-MIDW,1995,Midwest League,Midwest
1995-NL,1995,National League,National
1995-NYPL,1995,New York-Pennsylvania League,New York-Pennsylvania
1995-NATL,1995,North Atlantic League,North Atlantic
1995-NCEN,1995,North Central League,North Central
1995-NEAS,1995,Northeast League,Northeast
1995-NORL,1995,Northern League,Northern
1995-NORW,1995,Northwest League,Northwest
1995-PCL,1995,Pacific Coast League,Pacific Coast
1995-PION,1995,Pioneer League,Pioneer
1995-PRAI,1995,Prairie League,Prairie
1995-PRWL,1995,Puerto Rican Winter League,Puerto Rican Winter
1995-SALL,1995,South Atlantic League,South Atlantic
1995-SOUL,1995,Southern League,Southern
1995-TL,1995,Texas League,Texas
1995-TXLA,1995,Texas-Louisiana League,Texas-Louisiana
1995-VEWL,1995,Venezuelan Winter League,Venezuelan Winter
1995-WL,1995,Western League,Western
