league.key,league.year,league.name.full,league.name.short
2000-AL,2000,American League,American
2000-APPY,2000,Appalachian League,Appalachian
2000-AZFL,2000,Arizona Fall League,Arizona Fall
2000-ARIZ,2000,Arizona League,Arizona
2000-ATLL,2000,Atlantic League,Atlantic
2000-CALL,2000,California League,California
2000-CARL,2000,Carolina League,Carolina
2000-CPBL,2000,Chinese Professional Baseball League,Chinese Professional
2000-CNS,2000,Cuban National Series,Cuban
2000-DOSL,2000,Dominican Summer League,Dominican Summer
2000-DOWL,2000,Dominican Winter League,Dominican Winter
2000-DUTM,2000,Dutch Major League,Dutch Major
2000-EL,2000,Eastern League,Eastern
2000-FLIL,2000,Florida Instructional League,Florida Instructional
2000-FLOR,2000,Florida State League,Florida State
2000-FRON,2000,Frontier League,Frontier
2000-GULF,2000,Gulf Coast League,Gulf Coast
2000-INTB,2000,International Baseball League,International Baseball
2000-IL,2000,International League,International
2000-ITSA,2000,Italian Baseball League,Italian
2000-JPCL,2000,Japan Central League,Japan Central
2000-JPEL,2000,Japan Eastern League,Japan Eastern
2000-JPPL,2000,Japan Pacific League,Japan Pacific
2000-JPWL,2000,Japan Western League,Japan Western
2000-KBO,2000,Korean Baseball Organization,Korean Baseball Organization
2000-MXAL,2000,Mexican Academy League,Mexican Academy
2000-MEX,2000,Mexican League,Mexican
2000-MXPW,2000,Mexican Pacific Winter League,Mexican Pacific Winter
2000-MIDW,2000,Midwest League,Midwest
2000-NL,2000,National League,National
2000-NYPL,2000,New York-Pennsylvania League,New York-Pennsylvania
2000-NORL,2000,Northern League Central,Northern Central
2000-NEAS,2000,Northern League East,Northern East
2000-NORW,2000,Northwest League,Northwest
2000-PCL,2000,Pacific Coast League,Pacific Coast
2000-PION,2000,Pioneer League,Pioneer
2000-PRWL,2000,Puerto Rican Winter League,Puerto Rican Winter
2000-SALL,2000,South Atlantic League,South Atlantic
2000-SOUL,2000,Southern League,Southern
2000-TML,2000,Taiwan Major League,Taiwan Major
2000-TL,2000,Texas League,Texas
2000-TXLA,2000,Texas-Louisiana League,Texas-Louisiana
2000-VESL,2000,Venezuelan Summer League,Venezuelan Summer
2000-VEWL,2000,Venezuelan Winter League,Venezuelan Winter
2000-WL,2000,Western League,Western
