league.key,league.year,league.name.full,league.name.short
1985-AA,1985,American Association,American Association
1985-AL,1985,American League,American
1985-APPY,1985,Appalachian League,Appalachian
1985-AZIL,1985,Arizona Instructional League,Arizona Instructional
1985-CALL,1985,California League,California
1985-CARL,1985,Carolina League,Carolina
1985-COLW,1985,Colombian Winter League,Colombian Winter
1985-CNS,1985,Cuban National Series,Cuban
1985-DOSL,1985,Dominican Summer League,Dominican Summer
1985-DOWL,1985,Dominican Winter League,Dominican Winter
1985-EL,1985,Eastern League,Eastern
1985-FLIL,1985,Florida Instructional League,Florida Instructional
1985-FLOR,1985,Florida State League,Florida State
1985-GULF,1985,Gulf Coast League,Gulf Coast
1985-IL,1985,International League,International
1985-JPCL,1985,Japan Central League,Japan Central
1985-JPPL,1985,Japan Pacific League,Japan Pacific
1985-KBO,1985,Korean Baseball Organization,Korean Baseball Organization
1985-MEX,1985,Mexican League,Mexican
1985-MXPW,1985,Mexican Pacific Winter League,Mexican Pacific Winter
1985-MIDW,1985,Midwest League,Midwest
1985-NL,1985,National League,National
1985-NYPL,1985,New York-Pennsylvania League,New York-Pennsylvania
1985-NORW,1985,Northwest League,Northwest
1985-PCL,1985,Pacific Coast League,Pacific Coast
1985-PION,1985,Pioneer League,Pioneer
1985-PRWL,1985,Puerto Rican Winter League,Puerto Rican Winter
1985-SALL,1985,South Atlantic League,South Atlantic
1985-SOUL,1985,Southern League,Southern
1985-TL,1985,Texas League,Texas
1985-VEWL,1985,Venezuelan Winter League,Venezuelan Winter
