league.key,league.year,league.name.full,league.name.short
2006-AA,2006,American Association,American Association
2006-AL,2006,American League,American
2006-APPY,2006,Appalachian League,Appalachian
2006-AZFL,2006,Arizona Fall League,Arizona Fall
2006-ARIZ,2006,Arizona League,Arizona
2006-ATLL,2006,Atlantic League,Atlantic
2006-CALL,2006,California League,California
2006-CAMA,2006,Canadian-American Association,Canadian-American Association
2006-CARS,2006,Caribbean Series,Caribbean
2006-CARL,2006,Carolina League,Carolina
2006-CPBL,2006,Chinese Professional Baseball League,Chinese Professional
2006-CNS,2006,Cuban National Series,Cuban
2006-DOSL,2006,Dominican Summer League,Dominican Summer
2006-DOWL,2006,Dominican Winter League,Dominican Winter
2006-DUTM,2006,Dutch Major League,Dutch Major
2006-EL,2006,Eastern League,Eastern
2006-FLIL,2006,Florida Instructional League,Florida Instructional
2006-FLOR,2006,Florida State League,Florida State
2006-FRON,2006,Frontier League,Frontier
2006-GOBL,2006,Golden Baseball League,Golden
2006-GULF,2006,Gulf Coast League,Gulf Coast
2006-HIWB,2006,Hawaii Winter Baseball,Hawaii Winter Baseball
2006-IL,2006,International League,International
2006-ITSA,2006,Italian Baseball League,Italian
2006-JPCL,2006,Japan Central League,Japan Central
2006-JPEL,2006,Japan Eastern League,Japan Eastern
2006-JPPL,2006,Japan Pacific League,Japan Pacific
2006-JPWL,2006,Japan Western League,Japan Western
2006-KBO,2006,Korean Baseball Organization,Korean Baseball Organization
2006-MEX,2006,Mexican League,Mexican
2006-MXPW,2006,Mexican Pacific Winter League,Mexican Pacific Winter
2006-MIDW,2006,Midwest League,Midwest
2006-NL,2006,National League,National
2006-NYPL,2006,New York-Pennsylvania League,New York-Pennsylvania
2006-NORL,2006,Northern League,Northern
2006-NORW,2006,Northwest League,Northwest
2006-PCL,2006,Pacific Coast League,Pacific Coast
2006-PION,2006,Pioneer League,Pioneer
2006-PRWL,2006,Puerto Rican Winter League,Puerto Rican Winter
2006-SALL,2006,South Atlantic League,South Atlantic
2006-SOUL,2006,Southern League,Southern
2006-TL,2006,Texas League,Texas
2006-UNLB,2006,United League Baseball,United
2006-VESL,2006,Venezuelan Summer League,Venezuelan Summer
2006-VEWL,2006,Venezuelan Winter League,Venezuelan Winter
