league.key,league.year,league.name.full,league.name.short
1998-AL,1998,American League,American
1998-APPY,1998,Appalachian League,Appalachian
1998-AZFL,1998,Arizona Fall League,Arizona Fall
1998-ARIZ,1998,Arizona League,Arizona
1998-ATLL,1998,Atlantic League,Atlantic
1998-AUBL,1998,Australian Baseball League,Australian
1998-CALL,1998,California League,California
1998-CARL,1998,Carolina League,Carolina
1998-CPBL,1998,Chinese Professional Baseball League,Chinese Professional
1998-CNS,1998,Cuban National Series,Cuban
1998-DOSL,1998,Dominican Summer League,Dominican Summer
1998-DOWL,1998,Dominican Winter League,Dominican Winter
1998-EL,1998,Eastern League,Eastern
1998-FLIL,1998,Florida Instructional League,Florida Instructional
1998-FLOR,1998,Florida State League,Florida State
1998-FRON,1998,Frontier League,Frontier
1998-GULF,1998,Gulf Coast League,Gulf Coast
1998-HEAR,1998,Heartland League,Heartland
1998-IL,1998,International League,International
1998-JPCL,1998,Japan Central League,Japan Central
1998-JPEL,1998,Japan Eastern League,Japan Eastern
1998-JPPL,1998,Japan Pacific League,Japan Pacific
1998-JPWL,1998,Japan Western League,Japan Western
1998-KBO,1998,Korean Baseball Organization,Korean Baseball Organization
1998-MDFL,1998,Maryland Fall League,Maryland Fall
1998-MXAL,1998,Mexican Academy League,Mexican Academy
1998-MEX,1998,Mexican League,Mexican
1998-MXPW,1998,Mexican Pacific Winter League,Mexican Pacific Winter
1998-MIDW,1998,Midwest League,Midwest
1998-NL,1998,National League,National
1998-NYPL,1998,New York-Pennsylvania League,New York-Pennsylvania
1998-NEAS,1998,Northeast League,Northeast
1998-NORL,1998,Northern League,Northern
1998-NORW,1998,Northwest League,Northwest
1998-PCL,1998,Pacific Coast League,Pacific Coast
1998-PION,1998,Pioneer League,Pioneer
1998-PRWL,1998,Puerto Rican Winter League,Puerto Rican Winter
1998-SALL,1998,South Atlantic League,South Atlantic
1998-SOUL,1998,Southern League,Southern
1998-TML,1998,Taiwan Major League,Taiwan Major
1998-TL,1998,Texas League,Texas
1998-TXLA,1998,Texas-Louisiana League,Texas-Louisiana
1998-VESL,1998,Venezuelan Summer League,Venezuelan Summer
1998-VEWL,1998,Venezuelan Winter League,Venezuelan Winter
1998-WL,1998,Western League,Western
