league.key,league.year,league.name.full,league.name.short
2002-AL,2002,American League,American
2002-APPY,2002,Appalachian League,Appalachian
2002-AZFL,2002,Arizona Fall League,Arizona Fall
2002-ARIZ,2002,Arizona League,Arizona
2002-ATLL,2002,Atlantic League,Atlantic
2002-CALL,2002,California League,California
2002-CARL,2002,Carolina League,Carolina
2002-CENL,2002,Central League,Central
2002-CNBL,2002,China Baseball League,China
2002-CPBL,2002,Chinese Professional Baseball League,Chinese Professional
2002-CNS,2002,Cuban National Series,Cuban
2002-DOSL,2002,Dominican Summer League,Dominican Summer
2002-DOWL,2002,Dominican Winter League,Dominican Winter
2002-DUTM,2002,Dutch Major League,Dutch Major
2002-EL,2002,Eastern League,Eastern
2002-FFDB,2002,Federation Francaise De Baseball,Federation Francaise De Baseball
2002-FLIL,2002,Florida Instructional League,Florida Instructional
2002-FLOR,2002,Florida State League,Florida State
2002-FRON,2002,Frontier League,Frontier
2002-GULF,2002,Gulf Coast League,Gulf Coast
2002-INTB,2002,International Baseball League,International Baseabll
2002-IL,2002,International League,International
2002-ITSA,2002,Italian Baseball League,Italian
2002-JPCL,2002,Japan Central League,Japan Central
2002-JPEL,2002,Japan Eastern League,Japan Eastern
2002-JPPL,2002,Japan Pacific League,Japan Pacific
2002-JPWL,2002,Japan Western League,Japan Western
2002-KBO,2002,Korean Baseball Organization,Korean Baseball Organization
2002-MEX,2002,Mexican League,Mexican
2002-MXPW,2002,Mexican Pacific Winter League,Mexican Pacific Winter
2002-MIDW,2002,Midwest League,Midwest
2002-NL,2002,National League,National
2002-NYPL,2002,New York-Pennsylvania League,New York-Pennsylvania
2002-NORL,2002,Northern League Central,Northern Central
2002-NEAS,2002,Northern League East,Northern East
2002-NORW,2002,Northwest League,Northwest
2002-PCL,2002,Pacific Coast League,Pacific Coast
2002-PION,2002,Pioneer League,Pioneer
2002-PPWL,2002,Probeis Winter League,Probeis Winter
2002-PRWL,2002,Puerto Rican Winter League,Puerto Rican Winter
2002-SALL,2002,South Atlantic League,South Atlantic
2002-SEAL,2002,Southeastern League,Southeastern
2002-SOUL,2002,Southern League,Southern
2002-TML,2002,Taiwan Major League,Taiwan Major
2002-TL,2002,Texas League,Texas
2002-VESL,2002,Venezuelan Summer League,Venezuelan Summer
2002-VEWL,2002,Venezuelan Winter League,Venezuelan Winter
2002-WL,2002,Western League,Western
