league.key,league.year,league.name.full,league.name.short
1982-AA,1982,American Association,American Association
1982-AL,1982,American League,American
1982-APPY,1982,Appalachian League,Appalachian
1982-AZIL,1982,Arizona Instructional League,Arizona Instructional
1982-CALL,1982,California League,California
1982-CARL,1982,Carolina League,Carolina
1982-CNS,1982,Cuban National Series,Cuban
1982-DOWL,1982,Dominican Winter League,Dominican Winter
1982-EL,1982,Eastern League,Eastern
1982-FLIL,1982,Florida Instructional League,Florida Instructional
1982-FLOR,1982,Florida State League,Florida State
1982-GULF,1982,Gulf Coast League,Gulf Coast
1982-IL,1982,International League,International
1982-JPCL,1982,Japan Central League,Japan Central
1982-JPPL,1982,Japan Pacific League,Japan Pacific
1982-KBO,1982,Korean Baseball Organization,Korean Baseball Organization
1982-MEX,1982,Mexican League,Mexican
1982-MXPW,1982,Mexican Pacific Winter League,Mexican Pacific Winter
1982-MIDW,1982,Midwest League,Midwest
1982-NL,1982,National League,National
1982-NYPL,1982,New York-Pennsylvania League,New York-Pennsylvania
1982-NORW,1982,Northwest League,Northwest
1982-PCL,1982,Pacific Coast League,Pacific Coast
1982-PION,1982,Pioneer League,Pioneer
1982-PRWL,1982,Puerto Rican Winter League,Puerto Rican Winter
1982-SALL,1982,South Atlantic League,South Atlantic
1982-SOUL,1982,Southern League,Southern
1982-TL,1982,Texas League,Texas
1982-VEWL,1982,Venezuelan Winter League,Venezuelan Winter
