league.key,league.year,league.name.full,league.name.short
1993-AA,1993,American Association,American Association
1993-AL,1993,American League,American
1993-APPY,1993,Appalachian League,Appalachian
1993-AZFL,1993,Arizona Fall League,Arizona Fall
1993-ARIZ,1993,Arizona League,Arizona
1993-AUBL,1993,Australian Baseball League,Australian
1993-CALL,1993,California League,California
1993-CARL,1993,Carolina League,Carolina
1993-CPBL,1993,Chinese Professional Baseball League,Chinese Professional
1993-CNS,1993,Cuban National Series,Cuban
1993-DOSL,1993,Dominican Summer League,Dominican Summer
1993-DOWL,1993,Dominican Winter League,Dominican Winter
1993-EL,1993,Eastern League,Eastern
1993-FLIL,1993,Florida Instructional League,Florida Instructional
1993-FLOR,1993,Florida State League,Florida State
1993-FRON,1993,Frontier League,Frontier
1993-GULF,1993,Gulf Coast League,Gulf Coast
1993-HIWL,1993,Hawaii Winter League,Hawaii Winter
1993-IL,1993,International League,International
1993-JPCL,1993,Japan Central League,Japan Central
1993-JPPL,1993,Japan Pacific League,Japan Pacific
1993-KBO,1993,Korean Baseball Organization,Korean Baseball Organization
1993-MEX,1993,Mexican League,Mexican
1993-MXPW,1993,Mexican Pacific Winter League,Mexican Pacific Winter
1993-MIDW,1993,Midwest League,Midwest
1993-NL,1993,National League,National
1993-NYPL,1993,New York-Pennsylvania League,New York-Pennsylvania
1993-NORL,1993,Northern League,Northern
1993-NORW,1993,Northwest League,Northwest
1993-PCL,1993,Pacific Coast League,Pacific Coast
1993-PION,1993,Pioneer League,Pioneer
1993-PRWL,1993,Puerto Rican Winter League,Puerto Rican Winter
1993-SALL,1993,South Atlantic League,South Atlantic
1993-SOUL,1993,Southern League,Southern
1993-TL,1993,Texas League,Texas
1993-VEWL,1993,Venezuelan Winter League,Venezuelan Winter
