league.key,league.year,league.name.full,league.name.short
2009-AA,2009,American Association,American Association
2009-AL,2009,American League,American
2009-APPY,2009,Appalachian League,Appalachian
2009-AZFL,2009,Arizona Fall League,Arizona Fall
2009-ARIZ,2009,Arizona League,Arizona
2009-AZWL,2009,Arizona Winter League,Arizona Winter
2009-ATLL,2009,Atlantic League,Atlantic
2009-CALL,2009,California League,California
2009-CAMA,2009,Canadian-American Association,Canadian-American Association
2009-CARS,2009,Caribbean Series,Caribbean
2009-CARL,2009,Carolina League,Carolina
2009-CPBL,2009,Chinese Professional Baseball League,Chinese Professional
2009-CNTL,2009,Continental Baseball League,Continental
2009-CNS,2009,Cuban National Series,Cuban
2009-DOSL,2009,Dominican Summer League,Dominican Summer
2009-DOWL,2009,Dominican Winter League,Dominican Winter
2009-DUTM,2009,Dutch Major League,Dutch Major
2009-EL,2009,Eastern League,Eastern
2009-FLOR,2009,Florida State League,Florida State
2009-FLWB,2009,Florida Winter Baseball League,Florida Winter
2009-FRON,2009,Frontier League,Frontier
2009-GOBL,2009,Golden Baseball League,Golden
2009-GULF,2009,Gulf Coast League,Gulf Coast
2009-IL,2009,International League,International
2009-ITSA,2009,Italian Baseball League,Italian
2009-JPCL,2009,Japan Central League,Japan Central
2009-JPEL,2009,Japan Eastern League,Japan Eastern
2009-JPPL,2009,Japan Pacific League,Japan Pacific
2009-JPWL,2009,Japan Western League,Japan Western
2009-KBO,2009,Korean Baseball Organization,Korean Baseball Organization
2009-MEX,2009,Mexican League,Mexican
2009-MXPW,2009,Mexican Pacific Winter League,Mexican Pacific Winter
2009-MIDW,2009,Midwest League,Midwest
2009-NL,2009,National League,National
2009-NYPL,2009,New York-Pennsylvania League,New York-Pennsylvania
2009-NORL,2009,Northern League,Northern
2009-NORW,2009,Northwest League,Northwest
2009-PCL,2009,Pacific Coast League,Pacific Coast
2009-PION,2009,Pioneer League,Pioneer
2009-PRWL,2009,Puerto Rican Winter League,Puerto Rican Winter
2009-SALL,2009,South Atlantic League,South Atlantic
2009-SOUL,2009,Southern League,Southern
2009-TL,2009,Texas League,Texas
2009-UNLB,2009,United League Baseball,United
2009-VESL,2009,Venezuelan Summer League,Venezuelan Summer
2009-VEWL,2009,Venezuelan Winter League,Venezuelan Winter
