league.key,league.year,league.name.full,league.name.short
2003-AL,2003,American League,American
2003-APPY,2003,Appalachian League,Appalachian
2003-AZFL,2003,Arizona Fall League,Arizona Fall
2003-ARIZ,2003,Arizona League,Arizona
2003-AZMX,2003,Arizona-Mexico League,Arizona-Mexico
2003-ATLL,2003,Atlantic League,Atlantic
2003-CALL,2003,California League,California
2003-CANB,2003,Canadian Baseball League,Canadian
2003-CARL,2003,Carolina League,Carolina
2003-CENL,2003,Central League,Central
2003-CNBL,2003,China Baseball League,China
2003-CPBL,2003,Chinese Professional Baseball League,Chinese Professional
2003-CNS,2003,Cuban National Series,Cuban
2003-DOSL,2003,Dominican Summer League,Dominican Summer
2003-DOWL,2003,Dominican Winter League,Dominican Winter
2003-DUTM,2003,Dutch Major League,Dutch Major
2003-EL,2003,Eastern League,Eastern
2003-FFDB,2003,Federation Francaise De Baseball,Federation Francaise De Baseball
2003-FLIL,2003,Florida Instructional League,Florida Instructional
2003-FLOR,2003,Florida State League,Florida State
2003-FRON,2003,Frontier League,Frontier
2003-GULF,2003,Gulf Coast League,Gulf Coast
2003-INTB,2003,International Baseball League,International Baseball
2003-IL,2003,International League,International
2003-ITSA,2003,Italian Baseball League,Italian
2003-JPCL,2003,Japan Central League,Japan Central
2003-JPEL,2003,Japan Eastern League,Japan Eastern
2003-JPPL,2003,Japan Pacific League,Japan Pacific
2003-JPWL,2003,Japan Western League,Japan Western
2003-KBO,2003,Korean Baseball Organization,Korean Baseball Organization
2003-MEX,2003,Mexican League,Mexican
2003-MXPW,2003,Mexican Pacific Winter League,Mexican Pacific Winter
2003-MIDW,2003,Midwest League,Midwest
2003-NL,2003,National League,National
2003-NYPL,2003,New York-Pennsylvania League,New York-Pennsylvania
2003-NEAS,2003,Northeast League,Northeast
2003-NORL,2003,Northern League,Northern
2003-NORW,2003,Northwest League,Northwest
2003-PCL,2003,Pacific Coast League,Pacific Coast
2003-PION,2003,Pioneer League,Pioneer
2003-PPWL,2003,Probeis Winter League,Probeis Winter
2003-PRWL,2003,Puerto Rican Winter League,Puerto Rican Winter
2003-SALL,2003,South Atlantic League,South Atlantic
2003-SEAL,2003,Southeastern League,Southeastern
2003-SOUL,2003,Southern League,Southern
2003-TABL,2003,Tabasco League,Tabasco
2003-TL,2003,Texas League,Texas
2003-VESL,2003,Venezuelan Summer League,Venezuelan Summer
2003-VEWL,2003,Venezuelan Winter League,Venezuelan Winter
2003-WL,2003,Western League,Western
