league.key,league.year,league.name.full,league.name.short
1964-AL,1964,American League,American
1964-APPY,1964,Appalachian League,Appalachian
1964-AZIL,1964,Arizona Instructional League,Arizona Instructional
1964-AZRL,1964,Arizona Rookie League,Arizona Rookie
1964-CALL,1964,California League,California
1964-CARL,1964,Carolina League,Carolina
1964-CRKL,1964,Cocoa Rookie League,Cocoa Rookie
1964-CNS,1964,Cuban National Series,Cuban
1964-DOWL,1964,Dominican Winter League,Dominican Winter
1964-EL,1964,Eastern League,Eastern
1964-FECI,1964,Florida East Coast Instructional League,Florida East Coast Instructional
1964-FLIL,1964,Florida Instructional League,Florida Instructional
1964-FLOR,1964,Florida State League,Florida State
1964-IL,1964,International League,International
1964-JPCL,1964,Japan Central League,Japan Central
1964-JPPL,1964,Japan Pacific League,Japan Pacific
1964-MXCL,1964,Mexican Center League,Mexican Center
1964-MEX,1964,Mexican League,Mexican
1964-MXPW,1964,Mexican Pacific Winter League,Mexican Pacific Winter
1964-MXSE,1964,Mexican Southeast League,Mexican Southeast
1964-MIDW,1964,Midwest League,Midwest
1964-NL,1964,National League,National
1964-NYPL,1964,New York-Pennsylvania League,New York-Pennsylvania
1964-NICW,1964,Nicaraguan Winter League,Nicaraguan Winter
1964-NORL,1964,Northern League,Northern
1964-NORW,1964,Northwest League,Northwest
1964-PCL,1964,Pacific Coast League,Pacific Coast
1964-PNWL,1964,Panama Winter League,Panama Winter
1964-PENW,1964,Peninsula Winter League,Peninsula Winter
1964-PION,1964,Pioneer League,Pioneer
1964-PRWL,1964,Puerto Rican Winter League,Puerto Rican Winter
1964-QUPL,1964,Quebec Provincial League,Quebec Provincial
1964-SARR,1964,Sarasota Rookie League,Sarasota Rookie
1964-SOUL,1964,Southern League,Southern
1964-TL,1964,Texas League,Texas
1964-VEWL,1964,Venezuelan Winter League,Venezuelan Winter
1964-WCRS,1964,Western Carolinas League,Western Carolinas
