league.key,league.year,league.name.full,league.name.short
1973-AA,1973,American Association,American Association
1973-AL,1973,American League,American
1973-APPY,1973,Appalachian League,Appalachian
1973-AZIL,1973,Arizona Instructional League,Arizona Instructional
1973-CALL,1973,California League,California
1973-CARL,1973,Carolina League,Carolina
1973-CNS,1973,Cuban National Series,Cuban
1973-DOWL,1973,Dominican Winter League,Dominican Winter
1973-EL,1973,Eastern League,Eastern
1973-FLIL,1973,Florida Instructional League,Florida Instructional
1973-FLOR,1973,Florida State League,Florida State
1973-GULF,1973,Gulf Coast League,Gulf Coast
1973-IL,1973,International League,International
1973-JPCL,1973,Japan Central League,Japan Central
1973-JPPL,1973,Japan Pacific League,Japan Pacific
1973-MXCL,1973,Mexican Center League,Mexican Center
1973-MEX,1973,Mexican League,Mexican
1973-MXPW,1973,Mexican Pacific Winter League,Mexican Pacific Winter
1973-MIDW,1973,Midwest League,Midwest
1973-NL,1973,National League,National
1973-NYPL,1973,New York-Pennsylvania League,New York-Pennsylvania
1973-NORW,1973,Northwest League,Northwest
1973-PCL,1973,Pacific Coast League,Pacific Coast
1973-PION,1973,Pioneer League,Pioneer
1973-PRWL,1973,Puerto Rican Winter League,Puerto Rican Winter
1973-SOUL,1973,Southern League,Southern
1973-TL,1973,Texas League,Texas
1973-VEWL,1973,Venezuelan Winter League,Venezuelan Winter
1973-WCRS,1973,Western Carolinas League,Western Carolinas
