league.key,league.year,league.name.full,league.name.short
1981-AA,1981,American Association,American Association
1981-AL,1981,American League,American
1981-APPY,1981,Appalachian League,Appalachian
1981-AZIL,1981,Arizona Instructional League,Arizona Instructional
1981-CALL,1981,California League,California
1981-CARL,1981,Carolina League,Carolina
1981-CNS,1981,Cuban National Series,Cuban
1981-DOWL,1981,Dominican Winter League,Dominican Winter
1981-EL,1981,Eastern League,Eastern
1981-FLIL,1981,Florida Instructional League,Florida Instructional
1981-FLOR,1981,Florida State League,Florida State
1981-GULF,1981,Gulf Coast League,Gulf Coast
1981-IL,1981,International League,International
1981-JPCL,1981,Japan Central League,Japan Central
1981-JPPL,1981,Japan Pacific League,Japan Pacific
1981-MEX,1981,Mexican League,Mexican
1981-MXPW,1981,Mexican Pacific Winter League,Mexican Pacific Winter
1981-MIDW,1981,Midwest League,Midwest
1981-NL,1981,National League,National
1981-NYPL,1981,New York-Pennsylvania League,New York-Pennsylvania
1981-NORW,1981,Northwest League,Northwest
1981-PCL,1981,Pacific Coast League,Pacific Coast
1981-PION,1981,Pioneer League,Pioneer
1981-PRWL,1981,Puerto Rican Winter League,Puerto Rican Winter
1981-SALL,1981,South Atlantic League,South Atlantic
1981-SOUL,1981,Southern League,Southern
1981-TL,1981,Texas League,Texas
1981-VEWL,1981,Venezuelan Winter League,Venezuelan Winter
