league.key,league.year,league.name.full,league.name.short
1996-AA,1996,American Association,American Association
1996-AL,1996,American League,American
1996-APPY,1996,Appalachian League,Appalachian
1996-AZFL,1996,Arizona Fall League,Arizona Fall
1996-ARIZ,1996,Arizona League,Arizona
1996-AUBL,1996,Australian Baseball League,Australian
1996-BSOL,1996,Big South League,Big South
1996-CALL,1996,California League,California
1996-CARL,1996,Carolina League,Carolina
1996-CPBL,1996,Chinese Professional Baseball League,Chinese Professional
1996-CNS,1996,Cuban National Series,Cuban
1996-DOSL,1996,Dominican Summer League,Dominican Summer
1996-DOWL,1996,Dominican Winter League,Dominican Winter
1996-EL,1996,Eastern League,Eastern
1996-FLIL,1996,Florida Instructional League,Florida Instructional
1996-FLOR,1996,Florida State League,Florida State
1996-FRON,1996,Frontier League,Frontier
1996-GULF,1996,Gulf Coast League,Gulf Coast
1996-HIWL,1996,Hawaii Winter League,Hawaii Winter
1996-HEAR,1996,Heartland League,Heartland
1996-IL,1996,International League,International
1996-JPCL,1996,Japan Central League,Japan Central
1996-JPPL,1996,Japan Pacific League,Japan Pacific
1996-KBO,1996,Korean Baseball Organization,Korean Baseball Organization
1996-MEX,1996,Mexican League,Mexican
1996-MXPW,1996,Mexican Pacific Winter League,Mexican Pacific Winter
1996-MIDW,1996,Midwest League,Midwest
1996-NL,1996,National League,National
1996-NYPL,1996,New York-Pennsylvania League,New York-Pennsylvania
1996-NATL,1996,North Atlantic League,North Atlantic
1996-NEAS,1996,Northeast League,Northeast
1996-NORL,1996,Northern League,Northern
1996-NORW,1996,Northwest League,Northwest
1996-PCL,1996,Pacific Coast League,Pacific Coast
1996-PION,1996,Pioneer League,Pioneer
1996-PRAI,1996,Prairie League,Prairie
1996-PRWL,1996,Puerto Rican Winter League,Puerto Rican Winter
1996-SALL,1996,South Atlantic League,South Atlantic
1996-SOUL,1996,Southern League,Southern
1996-TL,1996,Texas League,Texas
1996-TXLA,1996,Texas-Louisiana League,Texas-Louisiana
1996-VEWL,1996,Venezuelan Winter League,Venezuelan Winter
1996-WL,1996,Western League,Western
