source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
boxscores/1911/1911-THN,1911,Kansas State League,leach-lyo,P3801406,Leach [Lyo],,,Lyons,19110512,19110515,2,2,p2
boxscores/1911/1911-THN,1911,Kansas State League,leonard,P7179471,Leonard,,,El Dorado,19110511,19110524,14,0,"2b7,of6,lf4,rf2"
boxscores/1911/1911-THN,1911,Kansas State League,lewis,P0565895,Lewis,,,Wellington,19110516,19110524,6,4,"p4,1b1,of1,lf1"
boxscores/1911/1911-THN,1911,Kansas State League,lisy,P0353956,Lisy,,,Hutchinson,19110512,19110524,12,0,"3b7,of5,lf2,rf3"
boxscores/1911/1911-THN,1911,Kansas State League,litter,P1495658,Litter,,,Larned,19110517,19110517,1,1,p1
boxscores/1911/1911-THN,1911,Kansas State League,litter,P3434102,Littler,,,Larned,19110519,19110520,2,0,"of2,rf2"
boxscores/1911/1911-THN,1911,Kansas State League,love,P3860204,Love,,,Larned,19110511,19110524,8,0,"c1,of8,rf8"
boxscores/1911/1911-THN,1911,Kansas State League,luhrson,P8337244,Luherson,,,Great Bend,19110512,19110512,1,1,p1
boxscores/1911/1911-THN,1911,Kansas State League,luhrson,P1264983,Luhrson,,,Great Bend,19110515,19110524,5,5,p5
boxscores/1911/1911-TWJ,1911,Kansas State League,luhrson,P8576546,Luhrson,,,Great Bend,19110511,19110511,1,1,p1
boxscores/1911/1911-THN,1911,Kansas State League,lyons-gb,P1972193,Lyons,,,Great Bend,19110512,19110524,12,0,3b12
boxscores/1911/1911-THN,1911,Kansas State League,lyons-ed,P3606175,Lyons,,,El Dorado,19110521,19110524,4,0,"of4,lf4"
boxscores/1911/1911-TWJ,1911,Kansas State League,lyons-gb,P8599660,Lyons,,,Great Bend,19110511,19110511,1,0,3b1
boxscores/1911/1911-THN,1911,Kansas State League,maple,P8688955,Maple,,,Great Bend,19110522,19110524,3,3,p3
boxscores/1911/1911-THN,1911,Kansas State League,matney,P4860676,Matney,,,Larned,19110511,19110524,12,0,"of11,cf11"
boxscores/1911/1911-THN,1911,Kansas State League,maxey,P5813913,Maxey,,,Lyons,19110520,19110524,3,0,"of3,rf3"
boxscores/1911/1911-THN,1911,Kansas State League,mcauley,P5494170,McAuley,,,El Dorado,19110511,19110524,11,0,ss11
boxscores/1911/1911-THN,1911,Kansas State League,mccray,P1666549,McCray,,,Larned,19110518,19110520,2,2,p2
boxscores/1911/1911-THN,1911,Kansas State League,meade,P0496319,Meade,,,Wellington,19110513,19110524,11,0,"c2,1b2,of8,cf7,rf1"
boxscores/1911/1911-THN,1911,Kansas State League,miller,P7640968,Miller,,,Hutchinson,19110511,19110524,9,0,"c7,1b1,of1,cf1"
boxscores/1911/1911-THN,1911,Kansas State League,misse,P7715574,Misse,,,Lyons,19110511,19110524,12,0,ss12
boxscores/1911/1911-THN,1911,Kansas State League,moneymaker-wel,P3865691,Moneymaker,,,Wellington,19110512,19110522,9,0,c8
boxscores/1911/1911-THN,1911,Kansas State League,moneymaker-lar,P4334574,Moneymaker,,,Larned,19110514,19110514,1,0,c1
boxscores/1911/1911-TWJ,1911,Kansas State League,moneymaker-wel,P9505222,Moneymaker,,,Wellington,19110511,19110511,1,0,"of1,lf1"
boxscores/1911/1911-THN,1911,Kansas State League,morgan-ed,P2972398,Morgan,,,El Dorado,19110522,19110522,1,0,c1
boxscores/1911/1911-TWJ,1911,Kansas State League,morgan-wel,P6765138,Morgan,,,Wellington,19110511,19110511,1,0,c1
boxscores/1911/1911-THN,1911,Kansas State League,murphy,P5112820,Murphy,,,McPherson,19110511,19110524,13,0,ss13
boxscores/1911/1911-THN,1911,Kansas State League,nelson,P3920772,Nelson,,,Lyons,19110511,19110524,12,0,c12
boxscores/1911/1911-THN,1911,Kansas State League,osborne,P4094855,Osborne,,,McPherson,19110511,19110524,10,4,"p4,of2,cf2"
boxscores/1911/1911-THN,1911,Kansas State League,peoples,P9909851,Peoples,,,Wellington,19110512,19110524,12,0,"2b11,ss2"
boxscores/1911/1911-TWJ,1911,Kansas State League,peoples,P7221414,Peoples,,,Wellington,19110511,19110511,1,0,2b1
boxscores/1911/1911-THN,1911,Kansas State League,phillips,P3515144,Phillips,,,Hutchinson,19110512,19110513,2,0,"of1,rf1"
boxscores/1911/1911-THN,1911,Kansas State League,pinkerton,P9846493,Pinkerton,,,Wellington,19110516,19110524,8,0,"c2,1b6"
boxscores/1911/1911-THN,1911,Kansas State League,pittman,P2308920,Pittman,,,Newton,19110511,19110524,14,0,"of14,lf14"
boxscores/1911/1911-THN,1911,Kansas State League,pouron,P5684487,Poren,,,Wellington,19110513,19110513,1,0,"of1,cf1"
boxscores/1911/1911-THN,1911,Kansas State League,porrey,P3706864,Porrey,,,McPherson,19110518,19110519,2,0,"of2,rf2"
boxscores/1911/1911-THN,1911,Kansas State League,pouron,P1062918,Pouron,,,Wellington,19110512,19110512,1,0,"of1,lf1"
boxscores/1911/1911-TWJ,1911,Kansas State League,pouron,P9769329,Pouron,,,Wellington,19110511,19110511,1,0,"of1,cf1"
boxscores/1911/1911-THN,1911,Kansas State League,price,P9220150,Price,,,Hutchinson,19110522,19110522,1,1,p1
boxscores/1911/1911-THN,1911,Kansas State League,quigley,P2302741,Quigley,,,Lyons,19110511,19110524,11,0,3b11
boxscores/1911/1911-THN,1911,Kansas State League,ray,P6381342,Ray,,,#umpire,19110513,19110524,,,
boxscores/1911/1911-THN,1911,Kansas State League,reinbeck,P9825522,Reinbeck,,,McPherson,19110512,19110512,1,0,3b1
boxscores/1911/1911-THN,1911,Kansas State League,reinbeck,P3504851,Rhubeck,,,McPherson,19110511,19110511,1,0,3b1
boxscores/1911/1911-THN,1911,Kansas State League,routt,P3757037,Routt,,,McPherson,19110512,19110524,5,5,p5
boxscores/1911/1911-THN,1911,Kansas State League,reinbeck,P2843705,Runbeck,,,McPherson,19110513,19110524,11,0,3b11
boxscores/1911/1911-THN,1911,Kansas State League,salm,P0378263,Salm,,,El Dorado,19110511,19110520,3,3,p3
boxscores/1911/1911-THN,1911,Kansas State League,saxe,P8250572,Saxe,,,Newton,19110514,19110523,5,4,"p4,of1,rf1"
boxscores/1911/1911-THN,1911,Kansas State League,scanny,P0660930,Scanny,,,Larned,19110517,19110517,1,1,p1
boxscores/1911/1911-THN,1911,Kansas State League,schimoski,P4599405,Schimoski,,,Wellington,19110512,19110524,11,0,"3b1,ss10"
boxscores/1911/1911-TWJ,1911,Kansas State League,schimoski,P6891512,Schimoski,,,Wellington,19110511,19110511,1,0,ss1
boxscores/1911/1911-THN,1911,Kansas State League,schimoski,P2358781,Schimosky,,,Wellington,19110513,19110513,1,0,3b1
boxscores/1911/1911-THN,1911,Kansas State League,simcox,P6476598,Simcox,,,Hutchinson,19110511,19110524,9,0,"c7,1b1"
